Wavelength (nm),Intensity
210.89999999999938,5666019535.335596
210.99999999999937,15403785048.517565
211.09999999999937,12074096066.870384
211.19999999999936,3211394534.634454
211.29999999999936,4065629384.1158233
211.39999999999935,8843409817.563679
211.49999999999935,5810824160.709752
211.59999999999934,1104644828.5679731
211.69999999999933,60731343.977515325
211.79999999999933,965624.8168901397
211.89999999999932,0.0
211.99999999999932,0.0
212.0999999999993,0.0
212.1999999999993,0.0
212.2999999999993,0.0
212.3999999999993,0.0
212.4999999999993,295391.65647978144
212.59999999999928,27248875.533959124
212.69999999999928,739842574.7386615
212.79999999999927,5922416499.490613
212.89999999999927,14375419501.981596
212.99999999999926,15679124750.843662
213.09999999999926,27162166579.86051
213.19999999999925,34820813192.959305
213.29999999999924,15612180964.098694
213.39999999999924,2230642267.956949
213.49999999999923,98514591.74028455
213.59999999999923,1279708.0438118586
213.69999999999922,380510.1405371606
213.79999999999922,43370544.833814055
213.8999999999992,1479443906.9536967
213.9999999999992,15103902808.999302
214.0999999999992,46157138204.20837
214.1999999999992,42540076303.501526
214.2999999999992,16326976777.37294
214.39999999999918,21322049808.1423
214.49999999999918,27739655953.206696
214.59999999999917,19949953711.021362
214.69999999999916,16875572034.558138
214.79999999999916,7387818308.734793
214.89999999999915,1029698013.9954948
214.99999999999915,43283363.113931544
215.09999999999914,546503.2347659625
215.19999999999914,0.0
215.29999999999913,208934.46172174485
215.39999999999912,14060027.267716132
215.49999999999912,287573836.78219455
215.5999999999991,1800332024.1611443
215.6999999999991,3723131415.818403
215.7999999999991,4243412819.9614534
215.8999999999991,4849800324.650804
215.9999999999991,2700268757.163694
216.09999999999908,807937048.871165
216.19999999999908,4030399931.5842185
216.29999999999907,15064632659.194818
216.39999999999907,17336399422.529453
216.49999999999906,6102779964.964007
216.59999999999906,657131422.2704166
216.69999999999905,21643748.183063213
216.79999999999905,218056.19304209668
216.89999999999904,0.0
216.99999999999903,0.0
217.09999999999903,0.0
217.19999999999902,0.0
217.29999999999902,0.0
217.399999999999,0.0
217.499999999999,0.0
217.599999999999,3858269.3616649816
217.699999999999,153487700.55549368
217.799999999999,1900433639.4808319
217.89999999999898,7323689652.608056
217.99999999999898,8784261369.492685
218.09999999999897,3279281207.393011
218.19999999999897,381022098.6822876
218.29999999999896,13779065.455295408
218.39999999999895,155091.306806177
218.49999999999895,54326.6475924971
218.59999999999894,5872229.915844564
218.69999999999894,199646429.5466262
218.79999999999893,2134953379.3298895
218.89999999999893,7180977988.9547
218.99999999999892,7597087821.298757
219.09999999999891,2528011525.9289737
219.1999999999989,264593581.05034474
219.2999999999989,8710596.775910744
219.3999999999989,90195.49945794132
219.4999999999989,0.0
219.5999999999989,0.0
219.69999999999888,2895501.026166053
219.79999999999887,111693320.73208322
219.89999999999887,1371110487.769401
219.99999999999886,5356233143.045737
220.09999999999886,6658681805.614675
220.19999999999885,2634261116.666299
220.29999999999885,331643241.1072441
220.39999999999884,13286948.449124664
220.49999999999883,169403.00860287322
220.59999999999883,0.0
220.69999999999882,0.0
220.79999999999882,0.0
220.8999999999988,0.0
220.9999999999988,0.0
221.0999999999988,0.0
221.1999999999988,0.0
221.2999999999988,0.0
221.39999999999878,0.0
221.49999999999878,0.0
221.59999999999877,0.0
221.69999999999877,0.0
221.79999999999876,0.0
221.89999999999876,0.0
221.99999999999875,0.0
222.09999999999874,0.0
222.19999999999874,0.0
222.29999999999873,0.0
222.39999999999873,0.0
222.49999999999872,0.0
222.59999999999872,0.0
222.6999999999987,0.0
222.7999999999987,0.0
222.8999999999987,0.0
222.9999999999987,0.0
223.0999999999987,0.0
223.19999999999868,0.0
223.29999999999868,0.0
223.39999999999867,0.0
223.49999999999866,0.0
223.59999999999866,0.0
223.69999999999865,0.0
223.79999999999865,0.0
223.89999999999864,0.0
223.99999999999864,0.0
224.09999999999863,0.0
224.19999999999862,0.0
224.29999999999862,0.0
224.3999999999986,0.0
224.4999999999986,0.0
224.5999999999986,0.0
224.6999999999986,0.0
224.7999999999986,0.0
224.89999999999858,0.0
224.99999999999858,0.0
225.09999999999857,0.0
225.19999999999857,0.0
225.29999999999856,0.0
225.39999999999856,0.0
225.49999999999855,0.0
225.59999999999854,0.0
225.69999999999854,0.0
225.79999999999853,0.0
225.89999999999853,0.0
225.99999999999852,0.0
226.09999999999852,0.0
226.1999999999985,0.0
226.2999999999985,0.0
226.3999999999985,0.0
226.4999999999985,0.0
226.5999999999985,0.0
226.69999999999848,0.0
226.79999999999848,0.0
226.89999999999847,0.0
226.99999999999847,0.0
227.09999999999846,0.0
227.19999999999845,0.0
227.29999999999845,0.0
227.39999999999844,0.0
227.49999999999844,0.0
227.59999999999843,0.0
227.69999999999843,0.0
227.79999999999842,0.0
227.8999999999984,0.0
227.9999999999984,1813242.0464436782
228.0999999999984,69501326.59298411
228.1999999999984,920148073.5188167
228.2999999999984,4207747418.23703
228.39999999999839,6646131304.551552
228.49999999999838,3625897193.122754
228.59999999999837,683265305.8788861
228.69999999999837,44622913.9653816
228.79999999999836,9967217.598676063
228.89999999999836,185813321.50203842
228.99999999999835,1339082945.3904183
229.09999999999835,3356283428.764925
229.19999999999834,2925703396.899314
229.29999999999833,886997673.5245897
229.39999999999833,93665680.28594571
229.49999999999832,13064869.058592265
229.59999999999832,233736752.17879316
229.6999999999983,1984327309.0983438
229.7999999999983,5898719500.611419
229.8999999999983,6138736962.0665
229.9999999999983,2236542468.2013764
230.0999999999983,285267382.95545226
230.19999999999828,12738078.799460674
230.29999999999828,199128.1178582105
230.39999999999827,0.0
230.49999999999827,0.0
230.59999999999826,0.0
230.69999999999825,0.0
230.79999999999825,0.0
230.89999999999824,0.0
230.99999999999824,0.0
231.09999999999823,0.0
231.19999999999823,14810.292701229386
231.29999999999822,1359822.3663112288
231.39999999999822,44439011.27309836
231.4999999999982,516904442.1828156
231.5999999999982,2140029747.351838
231.6999999999982,3153501379.0939417
231.7999999999982,1653978688.5068254
231.8999999999982,308766704.5595876
231.99999999999818,20516094.22618452
232.09999999999818,485201.99351599894
232.19999999999817,0.0
232.29999999999816,0.0
232.39999999999816,0.0
232.49999999999815,0.0
232.59999999999815,0.0
232.69999999999814,0.0
232.79999999999814,0.0
232.89999999999813,0.0
232.99999999999812,54486.43416094766
233.09999999999812,4009817.2410818427
233.1999999999981,106698505.23615758
233.2999999999981,1026572570.8034574
233.3999999999981,3571235919.5493784
233.4999999999981,4492054227.331358
233.5999999999981,2043262689.5648928
233.69999999999808,351944115.9523779
233.79999999999808,377408246.3377868
233.89999999999807,2905543364.5900235
233.99999999999807,8580920385.103684
234.09999999999806,9210978912.568455
234.19999999999806,3593179480.7787313
234.29999999999805,509393315.0081316
234.39999999999804,26243924.454172865
234.49999999999804,491366.4772150998
234.59999999999803,0.0
234.69999999999803,0.0
234.79999999999802,0.0
234.89999999999802,0.0
234.999999999998,0.0
235.099999999998,0.0
235.199999999998,0.0
235.299999999998,0.0
235.399999999998,0.0
235.49999999999798,100724.93290522083
235.59999999999798,6281860.835351847
235.69999999999797,144717564.1464726
235.79999999999797,1231503882.8333955
235.89999999999796,3871078119.3865614
235.99999999999795,4494792984.092947
236.09999999999795,1927831453.101714
236.19999999999794,305428836.35090965
236.29999999999794,17874447.313673697
236.39999999999793,386399.73084906064
236.49999999999793,0.0
236.59999999999792,638560.0507147253
236.6999999999979,27980341.758314293
236.7999999999979,456956343.0928273
236.8999999999979,2781421653.4250803
236.9999999999979,6310000273.296849
237.0999999999979,5335343070.267726
237.19999999999789,1681379501.5008564
237.29999999999788,197487481.79166758
237.39999999999787,8645374.710202944
237.49999999999787,141058.25150874152
237.59999999999786,0.0
237.69999999999786,0.0
237.79999999999785,0.0
237.89999999999785,0.0
237.99999999999784,0.0
238.09999999999783,0.0
238.19999999999783,0.0
238.29999999999782,0.0
238.39999999999782,0.0
238.4999999999978,0.0
238.5999999999978,0.0
238.6999999999978,0.0
238.7999999999978,0.0
238.8999999999978,0.0
238.99999999999778,0.0
239.09999999999778,0.0
239.19999999999777,0.0
239.29999999999777,0.0
239.39999999999776,0.0
239.49999999999775,0.0
239.59999999999775,0.0
239.69999999999774,0.0
239.79999999999774,0.0
239.89999999999773,405280.8164311503
239.99999999999773,16018947.383806517
240.09999999999772,242422260.07271504
240.19999999999771,1404661276.4637065
240.2999999999977,3116243011.453081
240.3999999999977,2646985842.2752776
240.4999999999977,860859968.1068114
240.5999999999977,107194869.56523553
240.6999999999977,5110649.311111303
240.79999999999768,93290.78665801807
240.89999999999768,0.0
240.99999999999767,0.0
241.09999999999766,0.0
241.19999999999766,0.0
241.29999999999765,0.0
241.39999999999765,0.0
241.49999999999764,0.0
241.59999999999764,0.0
241.69999999999763,0.0
241.79999999999762,0.0
241.89999999999762,0.0
241.9999999999976,0.0
242.0999999999976,0.0
242.1999999999976,0.0
242.2999999999976,0.0
242.3999999999976,0.0
242.49999999999758,5330.205971613704
242.59999999999758,415807.3910704325
242.69999999999757,12683813.709135318
242.79999999999757,151292340.55349493
242.89999999999756,705671547.772187
242.99999999999756,1288073754.9401157
243.09999999999755,948169040.8814418
243.19999999999754,593396379.0619831
243.29999999999754,1532369623.669521
243.39999999999753,3009094709.1514044
243.49999999999753,4111364916.1931834
243.59999999999752,5010533262.39053
243.69999999999752,3521718393.0361495
243.7999999999975,1844722515.9257824
243.8999999999975,2570604976.3862267
243.9999999999975,2731284057.642027
244.0999999999975,1189867514.2842865
244.1999999999975,204510282.74713022
244.29999999999748,13846247.968724916
244.39999999999748,369248.0833744005
244.49999999999747,0.0
244.59999999999746,0.0
244.69999999999746,0.0
244.79999999999745,0.0
244.89999999999745,0.0
244.99999999999744,0.0
245.09999999999744,80775.65133228252
245.19999999999743,4246471.509316482
245.29999999999742,89015511.30370523
245.39999999999742,744034197.2385993
245.4999999999974,2479761045.382192
245.5999999999974,3295463454.7174006
245.6999999999974,1746276044.8750794
245.7999999999974,368976768.66907185
245.8999999999974,31086718.463880654
245.99999999999739,1044336.5239103684
246.09999999999738,13989.293569372016
246.19999999999737,0.0
246.29999999999737,0.0
246.39999999999736,0.0
246.49999999999736,0.0
246.59999999999735,0.0
246.69999999999735,0.0
246.79999999999734,0.0
